position,title,link,redirect_link,displayed_link,snippet,snippet_highlighted_words,source,sitelinks,must_include,missing,date,search_param_q,search_param_google_domain,search_param_gl,search_param_device,source_file
1,Currency Converter | Foreign Exchange Rates,https://www.oanda.com/currency-converter/en/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.oanda.com/currency-converter/en/&ved=2ahUKEwiO1_6QrOuMAxVqL9AFHdPlGDkQFnoECA0QAQ,https://www.oanda.com › currency-converter,OANDA's Currency Converter allows you to check the latest foreign exchange average bid/ask rates and convert all major world currencies. OANDA Rates™ are ...,"[""OANDA's"", 'OANDA']",Oanda,"{'expanded': [{'title': 'Currency Converter', 'link': 'https://www.oanda.com/currency-converter/en/?amount=1&from=EUR&to=USD', 'snippet': ''}, {'title': 'Live Exchange Rates', 'link': 'https://www.oanda.com/currency-converter/live-exchange-rates/', 'snippet': '162. 05. 8. JPY/EUR. 0.00. 61. 7. 0.00. 61. 8. GBP/JPY. 188. 82. 2 ...'}, {'title': 'Historical Currency Converter', 'link': 'https://www.oanda.com/foreign-exchange-data-services/en/historical-currency-converter/', 'snippet': 'OANDA Rate data is uploaded at 00:00 UTC daily (including ...'}, {'title': 'INR | Indian Rupee', 'link': 'https://www.oanda.com/currency-converter/en/currencies/majors/inr/', 'snippet': 'INR. Description. The Indian rupee (INR) is the official currency of ...'}, {'title': 'EUR | Euro', 'link': 'https://www.oanda.com/currency-converter/en/currencies/majors/eur/', 'snippet': 'The euro unofficially replaced the European currency unit in 1999 ...'}]}",,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_175243.csv
2,CFD Trading Platform | Forex CFD Trading | OANDA | Singapore,https://www.oanda.com/sg-en/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.oanda.com/sg-en/&ved=2ahUKEwiO1_6QrOuMAxVqL9AFHdPlGDkQFnoECCIQAQ,https://www.oanda.com › sg-en,"OANDA Singapore provides CFD trading services on hundreds of forex, indices, and commodities instruments. We offer innovative trading platforms and ...","['provides CFD trading services on hundreds of forex, indices, and commodities instruments']",Oanda,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_175243.csv
3,"Online Forex, Shares & Crypto CFD Trading Broker | OANDA",https://www.oanda.com/eu-en,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.oanda.com/eu-en&ved=2ahUKEwiO1_6QrOuMAxVqL9AFHdPlGDkQFnoECFYQAQ,https://www.oanda.com › eu-en,"Trade and invest · Trusted, market-leading, global broker. · Thousands of global instruments on your smartphone.","['Trusted, market-leading, global broker']",Oanda,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_175243.csv
4,Open a Forex Account,https://www.oanda.com/apply/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.oanda.com/apply/&ved=2ahUKEwiO1_6QrOuMAxVqL9AFHdPlGDkQFnoECFUQAQ,https://www.oanda.com › apply,Let's create a trading account for you. When you open a live account - a demo account will be automatically created for you. Complete the form in 5 mins. Ready ...,"[""Let's create a trading account for you""]",Oanda,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_175243.csv
5,Group | Financial Trading | Currency Data & Analytics ...,https://www.oanda.com/group/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.oanda.com/group/&ved=2ahUKEwiO1_6QrOuMAxVqL9AFHdPlGDkQFnoECFEQAQ,https://www.oanda.com › group,"OANDA would like to be your financial partner and help you to grow your wealth. We are a leader in currency data, offering forex and CFD trading, ...",['OANDA would like to be your financial partner'],Oanda,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_175243.csv
6,Online Forex Trading Platforms,https://www.oanda.com/us-en/trading/platforms/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.oanda.com/us-en/trading/platforms/&ved=2ahUKEwiO1_6QrOuMAxVqL9AFHdPlGDkQFnoECE0QAQ,https://www.oanda.com › us-en › trading › platforms,"We offer over 68 major and minor currency pairs, a user-friendly app and a range of trading platforms, including OANDA Trade and MT4.",['OANDA Trade'],Oanda,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_175243.csv
7,CFD Trading Online | OANDA | Singapore,https://www.oanda.com/sg-en/trading/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.oanda.com/sg-en/trading/&ved=2ahUKEwiO1_6QrOuMAxVqL9AFHdPlGDkQFnoECFcQAQ,https://www.oanda.com › sg-en › trading,"Trade CFD with OANDA, a global leader in trading solutions. Access our award-winning platforms, competitive spreads, & experienced support.",['global leader in trading solutions'],Oanda,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_175243.csv
1,OANDA Online Trading Platform - Singapore,https://www.moneysmart.sg/online-brokerage/oanda-trading-platform,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.moneysmart.sg/online-brokerage/oanda-trading-platform&ved=2ahUKEwjkreqRrOuMAxVJkIkEHXJGBeU4ChAWegQIFhAB,https://www.moneysmart.sg › ... › OANDA,"OANDA, also known as OANDA Asia Pacific Pte. Ltd., is a globally recognised online forex and CFD broker, offering competitive pricing and advanced trading ...",['is a globally recognised online forex and CFD broker'],MoneySmart Singapore,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_175243.csv
2,Online Commodity CFD Trading,https://www.oanda.com/bvi-en/cfds/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.oanda.com/bvi-en/cfds/&ved=2ahUKEwjkreqRrOuMAxVJkIkEHXJGBeU4ChAWegQIEhAB,https://www.oanda.com › bvi-en › cfds,"Choose from a range of CFD markets, including shares, indices, forex, gold, commodities and cryptocurrencies.Trade competitive spreads on major instruments such ...",['Choose from a range of CFD markets'],Oanda,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_175243.csv
3,OANDA - Forex trading on the App Store - Apple,https://apps.apple.com/us/app/oanda-forex-trading/id370922777,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://apps.apple.com/us/app/oanda-forex-trading/id370922777&ved=2ahUKEwjkreqRrOuMAxVJkIkEHXJGBeU4ChAWegQIHRAB,https://apps.apple.com › app › oanda-forex-trading,"Get instant quotes and free charting on the OANDA forex trading app, with tight spreads and low commissions. Apply, fund, trade. Join other smart traders ...",['Get instant quotes and free charting on the OANDA forex trading app'],Apple,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_175243.csv
4,OANDA (@oanda) • Instagram photos and videos,https://www.instagram.com/oanda/?hl=en,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.instagram.com/oanda/%3Fhl%3Den&ved=2ahUKEwjkreqRrOuMAxVJkIkEHXJGBeU4ChAWegQIFxAB,28K+ followers,"OANDA corporation is a trusted & award-winning provider of forex trading. Losses can exceed deposits. 135 West 41st Street, New York, New York 10036.",['OANDA'],Instagram · oanda,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_175243.csv
5,OANDA Prop Trader: Proprietary Trading Firm,https://proptrader.oanda.com/en/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://proptrader.oanda.com/en/&ved=2ahUKEwjkreqRrOuMAxVJkIkEHXJGBeU4ChAWegQIFBAB,https://proptrader.oanda.com › ...,OANDA Prop Trader offers the opportunity for aspiring and experienced traders to trade using virtual funds and earn a real profit share up to 90%. What is prop ...,['offers the opportunity for aspiring and experienced traders'],OANDA Prop Trader,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_175243.csv
6,OANDA — Reviews and Terms,https://www.tradingview.com/broker/OANDA/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.tradingview.com/broker/OANDA/&ved=2ahUKEwjkreqRrOuMAxVJkIkEHXJGBeU4ChAWegQIGRAB,https://www.tradingview.com › broker › OANDA,"Fully regulated, OANDA offers competitive spreads on 70 forex pairs, including all the majors and minors. Voted """"Most Popular Broker"""" by TradingView three ...",['competitive spreads on 70 forex pairs'],TradingView,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_175243.csv
7,Forex CFD Trading Cost | Trading Charges and Fees,https://www.oanda.com/sg-en/trading/our-charges/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.oanda.com/sg-en/trading/our-charges/&ved=2ahUKEwjkreqRrOuMAxVJkIkEHXJGBeU4ChAWegQIKxAB,https://www.oanda.com › sg-en › trading › our-charges,"Learn about OANDA's charges and fees before trading, so you'll know exactly how much you're paying when you trade with us.","[""Learn about OANDA's charges and fees""]",Oanda,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_175243.csv
8,OANDA - Forex and CFD trading – Apps on Google Play,https://play.google.com/store/apps/details?id=com.oanda.fxtrade&hl=en_SG,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://play.google.com/store/apps/details%3Fid%3Dcom.oanda.fxtrade%26hl%3Den_SG&ved=2ahUKEwjkreqRrOuMAxVJkIkEHXJGBeU4ChAWegQILxAB,https://play.google.com › store › apps › details › id=com...,"Trade CFDs on major global instruments, including forex, indices and commodities.Start investing with OANDA, an award-winning global broker with experience ...",['OANDA'],Google Play,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_175243.csv
9,MarketPulse - The Beat of the Global Markets,https://www.marketpulse.com/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.marketpulse.com/&ved=2ahUKEwjkreqRrOuMAxVJkIkEHXJGBeU4ChAWegQIKRAB,https://www.marketpulse.com,"The Beat of the Global Markets. MarketPulse provides in-depth insights into major economic trends and events that impact the market, ...",['provides in-depth insights into major economic trends and events'],marketpulse.com,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_175243.csv
10,Our History | OANDA Up To Now,https://www.oanda.com/group/about-us/history/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.oanda.com/group/about-us/history/&ved=2ahUKEwjkreqRrOuMAxVJkIkEHXJGBeU4ChAWegQILBAB,https://www.oanda.com › group › about-us › history,"Learn about our history here at OANDA, a leader in currency data, offering forex and CFD trading, corporate FX payments and exchange rates services.",['Learn about our history here at OANDA'],Oanda,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_175243.csv
1,Currency Converter | Foreign Exchange Rates,https://www.oanda.com/currency-converter/en/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.oanda.com/currency-converter/en/&ved=2ahUKEwiO1_6QrOuMAxVqL9AFHdPlGDkQFnoECA0QAQ,https://www.oanda.com › currency-converter,OANDA's Currency Converter allows you to check the latest foreign exchange average bid/ask rates and convert all major world currencies. OANDA Rates™ are ...,"[""OANDA's"", 'OANDA']",Oanda,"{'expanded': [{'title': 'Currency Converter', 'link': 'https://www.oanda.com/currency-converter/en/?amount=1&from=EUR&to=USD', 'snippet': ''}, {'title': 'Live Exchange Rates', 'link': 'https://www.oanda.com/currency-converter/live-exchange-rates/', 'snippet': '162. 05. 8. JPY/EUR. 0.00. 61. 7. 0.00. 61. 8. GBP/JPY. 188. 82. 2 ...'}, {'title': 'Historical Currency Converter', 'link': 'https://www.oanda.com/foreign-exchange-data-services/en/historical-currency-converter/', 'snippet': 'OANDA Rate data is uploaded at 00:00 UTC daily (including ...'}, {'title': 'INR | Indian Rupee', 'link': 'https://www.oanda.com/currency-converter/en/currencies/majors/inr/', 'snippet': 'INR. Description. The Indian rupee (INR) is the official currency of ...'}, {'title': 'EUR | Euro', 'link': 'https://www.oanda.com/currency-converter/en/currencies/majors/eur/', 'snippet': 'The euro unofficially replaced the European currency unit in 1999 ...'}]}",,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_180024.csv
2,CFD Trading Platform | Forex CFD Trading | OANDA | Singapore,https://www.oanda.com/sg-en/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.oanda.com/sg-en/&ved=2ahUKEwiO1_6QrOuMAxVqL9AFHdPlGDkQFnoECCIQAQ,https://www.oanda.com › sg-en,"OANDA Singapore provides CFD trading services on hundreds of forex, indices, and commodities instruments. We offer innovative trading platforms and ...","['provides CFD trading services on hundreds of forex, indices, and commodities instruments']",Oanda,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_180024.csv
3,"Online Forex, Shares & Crypto CFD Trading Broker | OANDA",https://www.oanda.com/eu-en,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.oanda.com/eu-en&ved=2ahUKEwiO1_6QrOuMAxVqL9AFHdPlGDkQFnoECFYQAQ,https://www.oanda.com › eu-en,"Trade and invest · Trusted, market-leading, global broker. · Thousands of global instruments on your smartphone.","['Trusted, market-leading, global broker']",Oanda,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_180024.csv
4,Open a Forex Account,https://www.oanda.com/apply/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.oanda.com/apply/&ved=2ahUKEwiO1_6QrOuMAxVqL9AFHdPlGDkQFnoECFUQAQ,https://www.oanda.com › apply,Let's create a trading account for you. When you open a live account - a demo account will be automatically created for you. Complete the form in 5 mins. Ready ...,"[""Let's create a trading account for you""]",Oanda,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_180024.csv
5,Group | Financial Trading | Currency Data & Analytics ...,https://www.oanda.com/group/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.oanda.com/group/&ved=2ahUKEwiO1_6QrOuMAxVqL9AFHdPlGDkQFnoECFEQAQ,https://www.oanda.com › group,"OANDA would like to be your financial partner and help you to grow your wealth. We are a leader in currency data, offering forex and CFD trading, ...",['OANDA would like to be your financial partner'],Oanda,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_180024.csv
6,Online Forex Trading Platforms,https://www.oanda.com/us-en/trading/platforms/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.oanda.com/us-en/trading/platforms/&ved=2ahUKEwiO1_6QrOuMAxVqL9AFHdPlGDkQFnoECE0QAQ,https://www.oanda.com › us-en › trading › platforms,"We offer over 68 major and minor currency pairs, a user-friendly app and a range of trading platforms, including OANDA Trade and MT4.",['OANDA Trade'],Oanda,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_180024.csv
7,CFD Trading Online | OANDA | Singapore,https://www.oanda.com/sg-en/trading/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.oanda.com/sg-en/trading/&ved=2ahUKEwiO1_6QrOuMAxVqL9AFHdPlGDkQFnoECFcQAQ,https://www.oanda.com › sg-en › trading,"Trade CFD with OANDA, a global leader in trading solutions. Access our award-winning platforms, competitive spreads, & experienced support.",['global leader in trading solutions'],Oanda,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_180024.csv
1,OANDA Online Trading Platform - Singapore,https://www.moneysmart.sg/online-brokerage/oanda-trading-platform,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.moneysmart.sg/online-brokerage/oanda-trading-platform&ved=2ahUKEwjkreqRrOuMAxVJkIkEHXJGBeU4ChAWegQIFhAB,https://www.moneysmart.sg › ... › OANDA,"OANDA, also known as OANDA Asia Pacific Pte. Ltd., is a globally recognised online forex and CFD broker, offering competitive pricing and advanced trading ...",['is a globally recognised online forex and CFD broker'],MoneySmart Singapore,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_180024.csv
2,Online Commodity CFD Trading,https://www.oanda.com/bvi-en/cfds/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.oanda.com/bvi-en/cfds/&ved=2ahUKEwjkreqRrOuMAxVJkIkEHXJGBeU4ChAWegQIEhAB,https://www.oanda.com › bvi-en › cfds,"Choose from a range of CFD markets, including shares, indices, forex, gold, commodities and cryptocurrencies.Trade competitive spreads on major instruments such ...",['Choose from a range of CFD markets'],Oanda,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_180024.csv
3,OANDA - Forex trading on the App Store - Apple,https://apps.apple.com/us/app/oanda-forex-trading/id370922777,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://apps.apple.com/us/app/oanda-forex-trading/id370922777&ved=2ahUKEwjkreqRrOuMAxVJkIkEHXJGBeU4ChAWegQIHRAB,https://apps.apple.com › app › oanda-forex-trading,"Get instant quotes and free charting on the OANDA forex trading app, with tight spreads and low commissions. Apply, fund, trade. Join other smart traders ...",['Get instant quotes and free charting on the OANDA forex trading app'],Apple,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_180024.csv
4,OANDA (@oanda) • Instagram photos and videos,https://www.instagram.com/oanda/?hl=en,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.instagram.com/oanda/%3Fhl%3Den&ved=2ahUKEwjkreqRrOuMAxVJkIkEHXJGBeU4ChAWegQIFxAB,28K+ followers,"OANDA corporation is a trusted & award-winning provider of forex trading. Losses can exceed deposits. 135 West 41st Street, New York, New York 10036.",['OANDA'],Instagram · oanda,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_180024.csv
5,OANDA Prop Trader: Proprietary Trading Firm,https://proptrader.oanda.com/en/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://proptrader.oanda.com/en/&ved=2ahUKEwjkreqRrOuMAxVJkIkEHXJGBeU4ChAWegQIFBAB,https://proptrader.oanda.com › ...,OANDA Prop Trader offers the opportunity for aspiring and experienced traders to trade using virtual funds and earn a real profit share up to 90%. What is prop ...,['offers the opportunity for aspiring and experienced traders'],OANDA Prop Trader,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_180024.csv
6,OANDA — Reviews and Terms,https://www.tradingview.com/broker/OANDA/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.tradingview.com/broker/OANDA/&ved=2ahUKEwjkreqRrOuMAxVJkIkEHXJGBeU4ChAWegQIGRAB,https://www.tradingview.com › broker › OANDA,"Fully regulated, OANDA offers competitive spreads on 70 forex pairs, including all the majors and minors. Voted """"Most Popular Broker"""" by TradingView three ...",['competitive spreads on 70 forex pairs'],TradingView,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_180024.csv
7,Forex CFD Trading Cost | Trading Charges and Fees,https://www.oanda.com/sg-en/trading/our-charges/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.oanda.com/sg-en/trading/our-charges/&ved=2ahUKEwjkreqRrOuMAxVJkIkEHXJGBeU4ChAWegQIKxAB,https://www.oanda.com › sg-en › trading › our-charges,"Learn about OANDA's charges and fees before trading, so you'll know exactly how much you're paying when you trade with us.","[""Learn about OANDA's charges and fees""]",Oanda,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_180024.csv
8,OANDA - Forex and CFD trading – Apps on Google Play,https://play.google.com/store/apps/details?id=com.oanda.fxtrade&hl=en_SG,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://play.google.com/store/apps/details%3Fid%3Dcom.oanda.fxtrade%26hl%3Den_SG&ved=2ahUKEwjkreqRrOuMAxVJkIkEHXJGBeU4ChAWegQILxAB,https://play.google.com › store › apps › details › id=com...,"Trade CFDs on major global instruments, including forex, indices and commodities.Start investing with OANDA, an award-winning global broker with experience ...",['OANDA'],Google Play,,,,,Oanda,google.com,sg,desktop,serp_api_Oanda_sg_20250422_180024.csv
